"Snowflake Function","Postgresql Function","Replica Emulation","Notes"
`CHECK_XML <https://docs.snowflake.net/manuals/sql-reference/functions/check_xml.html>`__,not supported,not supported,""
`CHR <https://docs.snowflake.net/manuals/sql-reference/functions/chr.html>`__,`CHR <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`COALESCE <https://docs.snowflake.net/manuals/sql-reference/functions/coalesce.html>`__,not supported,not supported,""
`COLLATE <https://docs.snowflake.net/manuals/sql-reference/functions/collate.html>`__,not supported,not supported,""
`COLLATION <https://docs.snowflake.net/manuals/sql-reference/functions/collation.html>`__,not supported,not supported,""
`COMPRESS <https://docs.snowflake.net/manuals/sql-reference/functions/compress.html>`__,not supported,not supported,""
`CONCAT <https://docs.snowflake.net/manuals/sql-reference/functions/concat.html>`__,`CONCAT <https://www.postgresql.org/docs/12/functions-string.html>`__,not supported,""
`CONDITIONAL_CHANGE_EVENT <https://docs.snowflake.net/manuals/sql-reference/functions/conditional_change_event.html>`__,not supported,not supported,""
`CONDITIONAL_TRUE_EVENT <https://docs.snowflake.net/manuals/sql-reference/functions/conditional_true_event.html>`__,not supported,not supported,""
`CONTAINS <https://docs.snowflake.net/manuals/sql-reference/functions/contains.html>`__,not supported,not supported,""
`CONVERT_TIMEZONE <https://docs.snowflake.net/manuals/sql-reference/functions/convert_timezone.html>`__,not supported,not supported,""
`COPY INTO <TABLE> <https://docs.snowflake.net/manuals/sql-reference/sql/copy-into-table.html>`__,not supported,not supported,""
`COPY_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/copy_history.html>`__,not supported,not supported,""
`CORR <https://docs.snowflake.net/manuals/sql-reference/functions/corr.html>`__,`CORR <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`COS <https://docs.snowflake.net/manuals/sql-reference/functions/cos.html>`__,`COS <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`COSH <https://docs.snowflake.net/manuals/sql-reference/functions/cosh.html>`__,`COSH <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`COT <https://docs.snowflake.net/manuals/sql-reference/functions/cot.html>`__,`COT <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`COUNT <https://docs.snowflake.net/manuals/sql-reference/functions/count.html>`__,`COUNT <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`COVAR_POP <https://docs.snowflake.net/manuals/sql-reference/functions/covar_pop.html>`__,`COVAR_POP <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`COVAR_SAMP <https://docs.snowflake.net/manuals/sql-reference/functions/covar_samp.html>`__,`COVAR_SAMP <https://www.postgresql.org/docs/12/functions-aggregate.html>`__,not supported,""
`CUME_DIST <https://docs.snowflake.net/manuals/sql-reference/functions/cume_dist.html>`__,`CUME_DIST <https://www.postgresql.org/docs/12/functions-window.html>`__,not supported,""
`CURRENT_ACCOUNT <https://docs.snowflake.net/manuals/sql-reference/functions/current_account.html>`__,not supported,not supported,""
`CURRENT_CLIENT <https://docs.snowflake.net/manuals/sql-reference/functions/current_client.html>`__,not supported,not supported,""
`CURRENT_DATABASE <https://docs.snowflake.net/manuals/sql-reference/functions/current_database.html>`__,`CURRENT_DATABASE <https://www.postgresql.org/docs/12/functions-info.html>`__,not supported,""
`CURRENT_DATE <https://docs.snowflake.net/manuals/sql-reference/functions/current_date.html>`__,`CURRENT_DATE <https://www.postgresql.org/docs/12/functions-datetime.html>`__,not supported,""
`CURRENT_REGION <https://docs.snowflake.net/manuals/sql-reference/functions/current_region.html>`__,not supported,not supported,""
`CURRENT_ROLE <https://docs.snowflake.net/manuals/sql-reference/functions/current_role.html>`__,`CURRENT_ROLE <https://www.postgresql.org/docs/12/functions-info.html>`__,not supported,""
`CURRENT_SCHEMA <https://docs.snowflake.net/manuals/sql-reference/functions/current_schema.html>`__,`CURRENT_SCHEMA <https://www.postgresql.org/docs/12/functions-info.html>`__,not supported,""
`CURRENT_SCHEMAS <https://docs.snowflake.net/manuals/sql-reference/functions/current_schemas.html>`__,`CURRENT_SCHEMAS <https://www.postgresql.org/docs/12/functions-info.html>`__,not supported,""
`CURRENT_SESSION <https://docs.snowflake.net/manuals/sql-reference/functions/current_session.html>`__,not supported,not supported,""
`CURRENT_STATEMENT <https://docs.snowflake.net/manuals/sql-reference/functions/current_statement.html>`__,not supported,not supported,""
`CURRENT_TIME <https://docs.snowflake.net/manuals/sql-reference/functions/current_time.html>`__,`CURRENT_TIME <https://www.postgresql.org/docs/12/functions-datetime.html>`__,not supported,""
`CURRENT_TIMESTAMP <https://docs.snowflake.net/manuals/sql-reference/functions/current_timestamp.html>`__,`CURRENT_TIMESTAMP <https://www.postgresql.org/docs/12/functions-datetime.html>`__,not supported,""
`CURRENT_TRANSACTION <https://docs.snowflake.net/manuals/sql-reference/functions/current_transaction.html>`__,not supported,not supported,""
`CURRENT_USER <https://docs.snowflake.net/manuals/sql-reference/functions/current_user.html>`__,`CURRENT_USER <https://www.postgresql.org/docs/12/functions-info.html>`__,not supported,""
`CURRENT_VERSION <https://docs.snowflake.net/manuals/sql-reference/functions/current_version.html>`__,not supported,not supported,""
`CURRENT_WAREHOUSE <https://docs.snowflake.net/manuals/sql-reference/functions/current_warehouse.html>`__,not supported,not supported,""
`DATABASE_REFRESH_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/database_refresh_history.html>`__,not supported,not supported,""
`DATABASE_REFRESH_PROGRESS <https://docs.snowflake.net/manuals/sql-reference/functions/database_refresh_progress.html>`__,not supported,not supported,""
`DATABASE_REFRESH_PROGRESS_BY_JOB <https://docs.snowflake.net/manuals/sql-reference/functions/database_refresh_progress.html>`__,not supported,not supported,""
`DATABASE_STORAGE_USAGE_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/database_storage_usage_history.html>`__,not supported,not supported,""
`DATA_TRANSFER_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/data_transfer_history.html>`__,not supported,not supported,""
`DATEADD <https://docs.snowflake.net/manuals/sql-reference/functions/dateadd.html>`__,not supported,not supported,""
`DATEDIFF <https://docs.snowflake.net/manuals/sql-reference/functions/datediff.html>`__,not supported,not supported,""
`DATE_FROM_PARTS <https://docs.snowflake.net/manuals/sql-reference/functions/date_from_parts.html>`__,not supported,not supported,""
`DATE_PART <https://docs.snowflake.net/manuals/sql-reference/functions/date_part.html>`__,`DATE_PART <https://www.postgresql.org/docs/12/functions-datetime.html>`__,not supported,""
`DATE_TRUNC <https://docs.snowflake.net/manuals/sql-reference/functions/date_trunc.html>`__,`DATE_TRUNC <https://www.postgresql.org/docs/12/functions-datetime.html>`__,not supported,""
`DAYNAME <https://docs.snowflake.net/manuals/sql-reference/functions/dayname.html>`__,not supported,not supported,""
`DECODE <https://docs.snowflake.net/manuals/sql-reference/functions/decode.html>`__,`DECODE <https://www.postgresql.org/docs/12/functions-binarystring.html>`__,not supported,""
`DECOMPRESS_BINARY <https://docs.snowflake.net/manuals/sql-reference/functions/decompress_binary.html>`__,not supported,not supported,""
`DECOMPRESS_STRING <https://docs.snowflake.net/manuals/sql-reference/functions/decompress_string.html>`__,not supported,not supported,""
`DEGREES <https://docs.snowflake.net/manuals/sql-reference/functions/degrees.html>`__,`DEGREES <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`DENSE_RANK <https://docs.snowflake.net/manuals/sql-reference/functions/dense_rank.html>`__,`DENSE_RANK <https://www.postgresql.org/docs/12/functions-window.html>`__,not supported,""
`EDITDISTANCE <https://docs.snowflake.net/manuals/sql-reference/functions/editdistance.html>`__,not supported,not supported,""
`ENDSWITH <https://docs.snowflake.net/manuals/sql-reference/functions/endswith.html>`__,not supported,not supported,""
`EQUAL_NULL <https://docs.snowflake.net/manuals/sql-reference/functions/equal_null.html>`__,not supported,not supported,""
`EXP <https://docs.snowflake.net/manuals/sql-reference/functions/exp.html>`__,`EXP <https://www.postgresql.org/docs/12/functions-math.html>`__,not supported,""
`EXPLAIN_JSON <https://docs.snowflake.net/manuals/sql-reference/functions/explain_json.html>`__,not supported,not supported,""
`EXTERNAL TABLE <https://docs.snowflake.net/manuals/sql-reference/../user-guide/tables-external.html>`__,not supported,not supported,""
`EXTERNAL_TABLE_FILES <https://docs.snowflake.net/manuals/sql-reference/functions/external_table_files.html>`__,not supported,not supported,""
`EXTERNAL_TABLE_FILE_REGISTRATION_HISTORY <https://docs.snowflake.net/manuals/sql-reference/functions/external_table_registration_history.html>`__,not supported,not supported,""
`EXTRACT <https://docs.snowflake.net/manuals/sql-reference/functions/extract.html>`__,`EXTRACT <https://www.postgresql.org/docs/12/functions-datetime.html>`__,not supported,""
`FACTORIAL <https://docs.snowflake.net/manuals/sql-reference/functions/factorial.html>`__,not supported,not supported,""
`FIRST_VALUE <https://docs.snowflake.net/manuals/sql-reference/functions/first_value.html>`__,`FIRST_VALUE <https://www.postgresql.org/docs/12/functions-window.html>`__,not supported,""
`FLATTEN <https://docs.snowflake.net/manuals/sql-reference/functions/flatten.html>`__,not supported,not supported,""
`FLOOR <https://docs.snowflake.net/manuals/sql-reference/functions/floor.html>`__,`FLOOR <https://www.postgresql.org/docs/12/functions-json.html>`__,not supported,""
`GENERATOR <https://docs.snowflake.net/manuals/sql-reference/functions/generator.html>`__,not supported,not supported,""
`GET <https://docs.snowflake.net/manuals/sql-reference/functions/get.html>`__,not supported,not supported,""
`GET_DDL <https://docs.snowflake.net/manuals/sql-reference/functions/get_ddl.html>`__,not supported,not supported,""
